year,state,region,population_in_m,victims_per_1m
2019,Arkansas,Southeast,3.0,7.6
2019,Colorado,West,5.8,3.8
2019,Delaware,Northeast,1.0,10.2
2019,Illinois,Midwest,12.7,16.6
2019,Kentucky,Southeast,4.5,5.4
2019,Maryland,Northeast,6.1,16.0
2019,Michigan,Midwest,10.0,4.3
2019,Missouri,Midwest,6.1,13.0
2019,Nebraska,Midwest,1.9,2.1
2019,New York,Northeast,19.5,2.6
2019,Oklahoma,Southwest,4.0,4.3
2019,Virginia,Southeast,8.6,7.2
2019,Louisiana,Southeast,4.7,27.0
2019,Minnesota,Midwest,5.6,2.3
2019,Tennessee,Southeast,6.8,5.1
2019,Wisconsin,Midwest,5.8,2.6
2019,California,West,39.4,6.5
2019,New Jersey,Northeast,8.9,6.6
2019,New Mexico,Southwest,2.1,12.4
2019,Washington,West,7.6,2.6
2019,Connecticut,Northeast,3.6,3.6
2019,Mississippi,Southeast,3.0,9.7
2019,Pennsylvania,Northeast,12.8,7.6
2019,Massachusetts,Northeast,6.9,3.5
2019,North Carolina,Southeast,10.5,5.0
2019,South Carolina,Southeast,5.2,10.1
2019,District of Columbia,Northeast,0.7,45.2
2020,Iowa,Midwest,3.2,6.6
2020,Ohio,Midwest,11.8,11.3
2020,Utah,West,3.3,1.5
2020,Idaho,West,1.8,2.7
2020,Maine,Northeast,1.4,2.9
2020,Texas,Southwest,29.2,5.5
2020,Alaska,West,0.7,17.7
2020,Kansas,Midwest,2.9,3.1
2020,Nevada,West,3.1,6.1
2020,Oregon,West,4.2,1.9
2020,Alabama,Southeast,5.0,10.5
2020,Arizona,Southwest,7.2,2.8
2020,Florida,Southeast,21.6,7.4
2020,Georgia,Southeast,10.7,8.5
2020,Indiana,Midwest,6.8,4.7
2020,Arkansas,Southeast,3.0,19.2
2020,Colorado,West,5.8,10.0
2020,Delaware,Northeast,1.0,14.1
2020,Illinois,Midwest,12.8,26.5
2020,Kentucky,Southeast,4.5,11.1
2020,Maryland,Northeast,6.2,13.8
2020,Michigan,Midwest,10.1,9.5
2020,Missouri,Midwest,6.2,19.7
2020,Nebraska,Midwest,2.0,6.1
2020,New York,Northeast,20.1,9.7
2020,Oklahoma,Southwest,4.0,2.0
2020,Virginia,Southeast,8.6,5.7
2020,Louisiana,Southeast,4.7,28.8
2020,Minnesota,Midwest,5.7,6.1
2020,Tennessee,Southeast,6.9,13.6
2020,Wisconsin,Midwest,5.9,9.0
2020,California,West,39.5,4.8
2020,New Jersey,Northeast,9.3,6.7
2020,New Mexico,Southwest,2.1,6.1
2020,Washington,West,7.7,3.5
2020,Connecticut,Northeast,3.6,9.5
2020,Mississippi,Southeast,3.0,30.1
2020,Pennsylvania,Northeast,13.0,11.9
2020,South Dakota,Midwest,0.9,4.5
2020,Massachusetts,Northeast,7.0,5.4
2020,West Virginia,Southeast,1.8,9.5
2020,North Carolina,Southeast,10.4,10.1
2020,South Carolina,Southeast,5.1,23.8
2020,District of Columbia,Northeast,0.7,93.9
2021,Ohio,Midwest,11.8,14.4
2021,Texas,Southwest,29.6,10.3
2021,Colorado,West,5.8,12.7
2021,Michigan,Midwest,10.0,12.5
2021,Minnesota,Midwest,5.7,11.7
2021,California,West,39.1,5.7
2021,Washington,West,7.7,4.0
2021,North Carolina,Southeast,10.6,9.5
2021,South Carolina,Southeast,5.2,19.3
2021,Arizona,Southwest,7.3,5.1
2021,Florida,Southeast,21.8,8.6
2021,Georgia,Southeast,10.8,10.8
2021,Indiana,Midwest,6.8,11.2
2021,Maryland,Northeast,6.2,15.5
2021,Missouri,Midwest,6.2,12.5
2021,Oklahoma,Southwest,4.0,2.8
2021,Tennessee,Southeast,7.0,11.9
2021,Wisconsin,Midwest,5.9,9.2
2021,Mississippi,Southeast,2.9,23.1
2021,Oregon,West,4.3,8.7
2021,Alabama,Southeast,5.0,21.2
2021,Delaware,Northeast,1.0,28.9
2021,Illinois,Midwest,12.7,35.3
2021,Kentucky,Southeast,4.5,4.0
2021,New York,Northeast,19.9,8.5
2021,Virginia,Southeast,8.7,8.8
2021,Louisiana,Southeast,4.6,35.2
2021,Pennsylvania,Northeast,13.0,13.1
2021,South Dakota,Midwest,0.9,5.6
2021,West Virginia,Southeast,1.8,2.2
2021,Idaho,West,1.9,3.2
2021,Kansas,Midwest,2.9,3.4
2021,Nevada,West,3.1,9.2
2021,Arkansas,Southeast,3.0,9.6
2021,New Jersey,Northeast,9.3,7.9
2021,New Mexico,Southwest,2.1,1.9
2021,District of Columbia,Northeast,0.7,112.1
2021,Iowa,Midwest,3.2,7.2
2021,Utah,West,3.3,1.5
2021,Alaska,West,0.7,6.8
2021,Nebraska,Midwest,2.0,2.5
2021,Connecticut,Northeast,3.6,2.2
2021,Massachusetts,Northeast,7.0,2.7
